FL Paper Experiment | INFO flwr 2024-04-01 14:44:17,528 | main.py:26 | 
FL Paper Experiment | DEBUG flwr 2024-04-01 15:33:14,678 | server.py:187 | evaluate_round 24 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:33:14,680 | server.py:222 | fit_round 25: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:34:56,775 | server.py:236 | fit_round 25 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:35:06,681 | server.py:173 | evaluate_round 25: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:35:36,166 | server.py:187 | evaluate_round 25 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:35:36,171 | server.py:222 | fit_round 26: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:37:37,670 | server.py:236 | fit_round 26 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:37:43,428 | server.py:173 | evaluate_round 26: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:38:04,940 | server.py:187 | evaluate_round 26 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:38:04,942 | server.py:222 | fit_round 27: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:40:02,427 | server.py:236 | fit_round 27 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:40:15,648 | server.py:173 | evaluate_round 27: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:40:35,875 | server.py:187 | evaluate_round 27 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:40:35,876 | server.py:222 | fit_round 28: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:42:15,456 | server.py:236 | fit_round 28 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:42:20,097 | server.py:173 | evaluate_round 28: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:42:37,541 | server.py:187 | evaluate_round 28 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:42:37,542 | server.py:222 | fit_round 29: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:44:16,190 | server.py:236 | fit_round 29 received 18 results and 0 failures
